_id,id,id_field,type,street,pavement,route_ahead,route_back,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1,1559483633,1,Crosswalk - Other,ELEVENTH ST,15929,PENN AVE,MULBERRY WAY,Central Business District,6,2,42003020100,6,2,2,2-3,40.44498866,-79.99388423
2,785965942,10,Crosswalk - Two Lined,PENN AVE,3313,12TH ST,ELEVENTH ST,Strip District,7,2,42003020300,6,2,2,2-3,40.44571738,-79.99246535
3,2008474459,100,Crosswalk - Continental,MORNINGSIDE AVE,8666,VETTER ST,BRYANT ST,Morningside,7,10,42003101400,2,10,5,3-7,40.47957907,-79.93068529
4,1207933462,1000,Crosswalk - Two Lined,TECH ST,5523,MARGARET MORRISON ST,FREW AVE,Squirrel Hill North,8,14,42003140100,3,14,4,2-8,40.44052794,-79.94212631
5,452041059,10000,Crosswalk - Continental,,14199,MOHLER ST,FRANKSTOWN AVE,Homewood North,9,13,42003130100,2,13,5,3-17,40.45546689,-79.88444192
6,2143059397,10001,Stop Bar,,14199,MOHLER ST,FRANKSTOWN AVE,Homewood North,9,13,42003130100,2,13,5,3-17,40.45549954,-79.88446288
7,2025526125,10002,Crosswalk - Continental,,545,FRANKSTOWN AVE,BENNETT ST,East Hills,9,13,42003130600,2,13,5,3-17,40.45497543,-79.88084271
8,456996638,10003,Stop Bar,,545,FRANKSTOWN AVE,BENNETT ST,East Hills,9,13,42003130600,2,13,5,3-17,40.45494609,-79.88081874
9,1280434611,10004,Crosswalk - Continental,,638,FRANKSTOWN AVE,FELICIA WAY,Homewood South,9,13,42003130400,2,13,5,3-17,40.45507242,-79.88645039
10,1308246533,10005,Stop Bar,,638,FRANKSTOWN AVE,FELICIA WAY,Homewood South,9,13,42003130400,2,13,5,3-17,40.45504053,-79.88644185
11,1172351538,10006,Crosswalk - Continental,,5016,FOREST WAY,FRANKSTOWN AVE,Homewood North,9,13,42003130200,2,13,5,3-17,40.45602512,-79.88999129
12,1942185016,10007,Stop Bar,,5016,FOREST WAY,FRANKSTOWN AVE,Homewood North,9,13,42003130200,2,13,5,3-17,40.45605803,-79.88997704
13,967555886,10008,Stop Bar,,18341,DURANGO WAY,N BRADDOCK AVE,Homewood North,9,13,42003130400,2,13,5,3-17,40.45593983,-79.88988313
14,1402065519,10009,Crosswalk - Continental,,18341,DURANGO WAY,N BRADDOCK AVE,Homewood South,9,13,42003130400,2,13,5,3-17,40.45593024,-79.88994063
15,905740180,1001,Crosswalk - Two Lined,FREW ST,961,TECH ST,SCHENLEY DR,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.44046772,-79.94226718
16,1478361190,10010,Crosswalk - Continental,,11299,FRANKSTOWN AVE,FELICIA WAY,Homewood South,9,13,42003130400,2,13,5,3-17,40.45589479,-79.8900454
17,847879576,10011,Stop Bar,,11299,FRANKSTOWN AVE,FELICIA WAY,Homewood South,9,13,42003130400,2,13,5,3-17,40.45585983,-79.8900278
18,490467825,10012,Crosswalk - Continental,,15385,N BRADDOCK AVE,COLLIER ST,Homewood South,9,13,42003130400,2,13,5,3-17,40.45597514,-79.89009134
19,2070150452,10013,Stop Bar,,15385,N BRADDOCK AVE,COLLIER ST,Homewood South,9,13,42003130400,2,13,5,3-17,40.45595575,-79.89013676
20,1942794858,10014,Stop Bar,,12060,FRANKSTOWN AVE,FELICIA WAY,Homewood South,9,13,42003130400,2,13,5,3-17,40.45628003,-79.89191407
21,657339690,10015,Stop Bar,COLLIER ST,13181,FOREST WAY,FRANKSTOWN AVE,Homewood North,9,13,42003130200,2,13,5,3-17,40.45650564,-79.8918738
22,915355863,10016,Stop Bar,,1867,LA SCHALL ST,FIFTH AVE,Homewood West,9,12,42003120700,2,12,5,3-17,40.4572312,-79.90888316
23,757793117,10017,Stop Bar,,7145,FIFTH AVE,TORRENS ST,Larimer,9,12,42003120800,2,12,5,3-17,40.45730798,-79.90924609
24,51062982,10018,Crosswalk - Continental,,13436,N DALLAS AVE,LA SCHALL ST,Homewood West,9,12,42003120700,2,12,5,3-17,40.45628474,-79.90484157
25,813977564,10019,Crosswalk - Continental,,3744,FORMOSA WAY,HAMILTON AVE,Homewood West,9,12,42003120700,2,12,5,3-17,40.45633806,-79.90472238
26,768755224,1002,Crosswalk - Continental,FORBES AVE,7177,BEELER ST,DEVON RD,Squirrel Hill North,8,14,42003140100,3,14,4,2-26,40.4438525,-79.93902751
27,623329482,10020,Crosswalk - Continental,,12383,N MURTLAND ST,N DALLAS AVE,Homewood West,9,12,42003120700,2,12,5,3-17,40.45624549,-79.90466076
28,1093123125,10021,Crosswalk - Continental,,13444,HAMILTON AVE,SUSQUEHANNA ST,Homewood West,9,12,42003120700,2,12,5,3-17,40.45618707,-79.90479605
29,1454544651,10022,Stop Bar,,13444,HAMILTON AVE,SUSQUEHANNA ST,Homewood West,9,12,42003120700,2,12,5,3-17,40.45612865,-79.90479521
30,1995445218,10023,Stop Bar,,13436,N DALLAS AVE,LA SCHALL ST,Homewood West,9,12,42003120700,2,12,5,3-17,40.45626794,-79.90489429
31,844418815,10024,Stop Bar,,3744,FORMOSA WAY,HAMILTON AVE,Homewood West,9,12,42003120700,2,12,5,3-17,40.45637024,-79.90473486
32,56279770,10025,Stop Bar,,12383,N MURTLAND ST,N DALLAS AVE,Homewood West,9,12,42003120700,2,12,5,3-17,40.45625842,-79.90461882
33,526805151,10026,Stop Bar,BAXTER ST,1760,TYSON ST,BRUSHTON AVE,Homewood North,9,13,42003130100,2,13,5,3-17,40.45648368,-79.88762419
34,1709765775,10027,Stop Bar,BAXTER ST,8950,BAXTER ST,FOREST WAY,Homewood North,9,13,42003130100,2,13,5,3-17,40.45639872,-79.88772226
